analysis_category,date_value,cve_count,activity_classification
DAILY_TREND,2025-08-26T07:06:03.852Z,1,Normal
DAILY_TREND,2025-08-26T00:00:00.000Z,1,Normal
DAILY_TREND,2025-08-25T00:00:00.000Z,1,Normal
DAILY_TREND,2025-08-22T18:24:22.144Z,1,Normal
DAILY_TREND,2025-08-22T13:01:17.440Z,1,Normal
DAILY_TREND,2025-08-22T00:00:00.000Z,1,Normal
DAILY_TREND,2025-08-21T00:00:00.000Z,1,Normal
DAILY_TREND,2025-08-20T08:56:41.560Z,1,Normal
DAILY_TREND,2025-08-20T00:44:56.421Z,1,Normal
DAILY_TREND,2025-08-20T00:00:00.000Z,1,Normal
DAILY_TREND,2025-08-19T13:54:01.088Z,1,Normal
DAILY_TREND,2025-08-19T00:00:00.000Z,1,Normal
DAILY_TREND,2025-08-18T13:43:51.852Z,1,Normal
DAILY_TREND,2025-08-16T03:38:52.456Z,1,Normal
DAILY_TREND,2025-08-16T03:38:47.227Z,1,Normal
DAILY_TREND,2025-08-16T02:24:33.478Z,1,Normal
DAILY_TREND,2025-08-14T17:15:51.397Z,1,Normal
DAILY_TREND,2025-08-14T04:32:41.870Z,1,Normal
DAILY_TREND,2025-08-14T00:00:00.000Z,1,Normal
DAILY_TREND,2025-08-13T17:47:09.166Z,1,Normal
DAILY_TREND,2025-08-13T17:28:00.498Z,1,Normal
DAILY_TREND,2025-08-13T17:27:45.555Z,1,Normal
DAILY_TREND,2025-08-12T19:00:07.291Z,1,Normal
DAILY_TREND,2025-08-12T18:59:47.462Z,1,Normal
DAILY_TREND,2025-08-12T18:59:45.473Z,1,Normal
DAILY_TREND,2025-08-12T18:59:11.807Z,1,Normal
DAILY_TREND,2025-08-12T16:59:40.460Z,1,Normal
DAILY_TREND,2025-08-12T14:13:28.174Z,1,Normal
DAILY_TREND,2025-08-12T11:16:53.387Z,1,Normal
DAILY_TREND,2025-08-12T11:16:48.226Z,1,Normal
DAILY_TREND,2025-08-12T11:16:42.595Z,1,Normal
DAILY_TREND,2025-08-12T11:16:41.301Z,1,Normal
DAILY_TREND,2025-08-12T11:16:39.989Z,1,Normal
DAILY_TREND,2025-08-12T11:16:38.616Z,1,Normal
DAILY_TREND,2025-08-12T11:16:37.292Z,1,Normal
DAILY_TREND,2025-08-12T11:16:35.999Z,1,Normal
DAILY_TREND,2025-08-12T11:16:34.660Z,1,Normal
DAILY_TREND,2025-08-11T20:38:56.268Z,1,Normal
DAILY_TREND,2025-08-09T14:31:47.079Z,1,Normal
DAILY_TREND,2025-08-08T03:16:41.818Z,1,Normal
DAILY_TREND,2025-08-08T03:15:50.173Z,1,Normal
DAILY_TREND,2025-08-08T03:14:34.270Z,1,Normal
DAILY_TREND,2025-08-07T16:03:05.256Z,1,Normal
DAILY_TREND,2025-08-07T00:00:00.000Z,1,Normal
DAILY_TREND,2025-08-06T15:32:27.357Z,1,Normal
DAILY_TREND,2025-08-06T14:45:43.182Z,1,Normal
DAILY_TREND,2025-08-06T00:00:00.000Z,1,Normal
DAILY_TREND,2025-08-05T13:45:59.104Z,1,Normal
DAILY_TREND,2025-08-04T00:00:00.000Z,1,Normal
DAILY_TREND,2025-08-03T10:13:17.467Z,1,Normal
DAILY_TREND,2025-08-03T10:09:43.302Z,1,Normal
DAILY_TREND,2025-08-03T10:02:05.153Z,1,Normal
DAILY_TREND,2025-08-01T21:32:07.643Z,1,Normal
DAILY_TREND,2025-07-31T00:00:00.000Z,1,Normal
DAILY_TREND,2025-07-30T19:45:00.454Z,1,Normal
DAILY_TREND,2025-07-30T00:00:00.000Z,1,Normal
DAILY_TREND,2025-07-29T19:04:20.976Z,1,Normal
DAILY_TREND,2025-07-29T19:02:40.346Z,1,Normal
DAILY_TREND,2025-07-29T19:00:12.910Z,1,Normal
DAILY_TREND,2025-07-29T00:00:00.000Z,1,Normal
DAILY_TREND,2025-07-28T15:27:37.588Z,1,Normal
DAILY_TREND,2025-07-28T15:26:35.209Z,1,Normal
DAILY_TREND,2025-07-27T00:00:00.000Z,1,Normal
DAILY_TREND,2025-07-26T03:38:17.536Z,1,Normal
DAILY_TREND,2025-07-25T15:50:17.950Z,1,Normal
DAILY_TREND,2025-07-25T15:49:51.852Z,1,Normal
DAILY_TREND,2025-07-25T00:00:00.000Z,1,Normal
DAILY_TREND,2025-07-23T11:53:28.743Z,1,Normal
DAILY_TREND,2025-07-23T11:15:12.334Z,1,Normal
DAILY_TREND,2025-07-23T11:14:18.732Z,1,Normal
DAILY_TREND,2025-07-23T11:12:23.857Z,1,Normal
DAILY_TREND,2025-07-23T11:09:44.485Z,1,Normal
DAILY_TREND,2025-07-23T04:11:58.476Z,1,Normal
DAILY_TREND,2025-07-23T04:11:51.262Z,1,Normal
DAILY_TREND,2025-07-23T04:11:30.757Z,1,Normal
DAILY_TREND,2025-07-22T17:13:15.250Z,1,Normal
DAILY_TREND,2025-07-21T13:38:22.516Z,1,Normal
DAILY_TREND,2025-07-21T13:34:11.656Z,1,Normal
DAILY_TREND,2025-07-21T08:52:56.608Z,1,Normal
DAILY_TREND,2025-07-21T00:00:00.000Z,1,Normal
DAILY_TREND,2025-07-18T14:01:13.242Z,1,Normal
DAILY_TREND,2025-07-18T08:08:21.544Z,1,Normal
DAILY_TREND,2025-07-18T07:58:23.943Z,1,Normal
DAILY_TREND,2025-07-17T19:24:29.065Z,1,Normal
DAILY_TREND,2025-07-17T19:13:34.025Z,1,Normal
DAILY_TREND,2025-07-17T19:12:54.440Z,1,Normal
